sale_id,date_id,product_id,customer_id,region_id,quantity,unit_price,cost,revenue
1,20230413,P031,C0188,R04,4,360.1,199.58,1440.4
2,20240311,P018,C0111,R04,1,186.22,134.15,186.22
3,20230928,P038,C0271,R04,1,306.14,171.05,306.14
4,20230417,P024,C0483,R01,8,452.48,298.46,3619.84
5,20230313,P023,C0441,R04,7,80.45,45.34,563.15
6,20241201,P022,C0325,R01,8,473.23,260.98,3785.84
7,20230121,P002,C0105,R03,4,47.04,37.58,188.16
8,20240906,P031,C0406,R01,6,360.1,199.58,2160.6
9,20230502,P011,C0320,R03,3,169.75,94.4,509.25
10,20240411,P028,C0041,R03,8,28.68,21.15,229.44
11,20230803,P046,C0215,R04,4,32.5,22.65,130.0
12,20231127,P032,C0071,R04,3,281.99,195.71,845.97
13,20240403,P005,C0056,R01,4,347.75,175.99,1391.0
14,20230329,P038,C0407,R02,6,306.14,171.05,1836.84
15,20240108,P010,C0236,R04,7,219.74,149.38,1538.18
16,20230410,P040,C0281,R04,7,108.18,81.5,757.26
17,20241025,P046,C0475,R02,4,32.5,22.65,130.0
18,20230511,P024,C0105,R02,8,452.48,298.46,3619.84
19,20241023,P035,C0390,R04,7,231.63,118.3,1621.41
20,20231105,P044,C0375,R02,2,339.56,262.31,679.12
21,20231210,P048,C0162,R01,8,211.76,145.97,1694.08
22,20240506,P023,C0191,R03,9,80.45,45.34,724.05
23,20240218,P017,C0009,R03,5,431.41,265.08,2157.05
24,20240121,P001,C0060,R04,4,497.64,256.53,1990.56
25,20230711,P031,C0381,R04,4,360.1,199.58,1440.4
26,20231004,P031,C0305,R01,4,360.1,199.58,1440.4
27,20230610,P042,C0225,R02,6,225.71,134.9,1354.26
28,20240404,P042,C0307,R04,4,225.71,134.9,902.84
29,20231110,P034,C0188,R03,7,466.74,320.55,3267.18
30,20230122,P009,C0070,R01,7,253.9,197.29,1777.3
31,20230910,P022,C0293,R01,5,473.23,260.98,2366.15
32,20240714,P013,C0287,R02,5,74.22,58.39,371.1
33,20240419,P025,C0482,R04,8,50.96,28.18,407.68
34,20230228,P048,C0169,R04,7,211.76,145.97,1482.32
35,20240525,P018,C0062,R01,7,186.22,134.15,1303.54
36,20241112,P012,C0349,R03,6,326.31,239.73,1957.86
37,20240420,P040,C0442,R04,7,108.18,81.5,757.26
38,20241130,P017,C0014,R03,7,431.41,265.08,3019.87
39,20230709,P015,C0164,R01,2,490.49,345.6,980.98
40,20241117,P042,C0420,R04,2,225.71,134.9,451.42
41,20240716,P015,C0245,R03,7,490.49,345.6,3433.43
42,20240720,P015,C0335,R01,7,490.49,345.6,3433.43
43,20230901,P039,C0008,R03,7,158.36,117.81,1108.52
44,20240519,P013,C0154,R04,5,74.22,58.39,371.1
45,20230511,P017,C0036,R02,1,431.41,265.08,431.41
46,20240429,P032,C0048,R03,2,281.99,195.71,563.98
47,20241008,P009,C0085,R02,9,253.9,197.29,2285.1
48,20230121,P040,C0028,R04,8,108.18,81.5,865.44
49,20230616,P020,C0196,R02,8,263.35,181.37,2106.8
50,20231001,P026,C0446,R01,1,413.09,285.24,413.09
51,20240123,P027,C0208,R02,6,84.46,49.62,506.76
52,20240823,P021,C0470,R03,9,32.41,23.88,291.69
53,20231112,P018,C0204,R03,8,186.22,134.15,1489.76
54,20230114,P013,C0464,R02,3,74.22,58.39,222.66
55,20230830,P016,C0307,R01,4,404.23,243.04,1616.92
56,20231212,P009,C0104,R04,3,253.9,197.29,761.7
57,20240718,P012,C0230,R02,6,326.31,239.73,1957.86
58,20231206,P044,C0426,R03,9,339.56,262.31,3056.04
